ISRC,Track,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
GBAHT2301515,Happier (feat. Clementine Douglas),The Blessed Madonna,2024-02-02,26.2,30812151.0,5012.0,42546998.0,71.0,4200741.0,25745.0,,,,24444704.0,0
QMANG2210115,Sin Tanto Royo,Luis R Conriquez,2023-10-20,26.2,92158242.0,10988.0,6195525.0,,73651632.0,328795.0,363.0,134310.0,1349277.0,242792313.0,0
KRA301900597,Psycho,Red Velvet,2019-12-23,26.2,471042668.0,37370.0,8743783.0,66.0,716847469.0,9852754.0,46801.0,34695574.0,222663523.0,15450015.0,0
GBARL2300220,Rhyme Dust,MK,2023-02-24,26.2,116992202.0,44035.0,62486297.0,65.0,7745796.0,95181.0,12594.0,8695476.0,92238960.0,7025105.0,0
QM6N22456323,Tu Foto,Q' Lokura,2024-05-16,26.1,9244547.0,925.0,8931821.0,69.0,12781421.0,82897.0,,,,,0
USWL12100223,Loco,Justin Quiles,2021-05-13,26.1,417078369.0,80390.0,22262789.0,61.0,22493718.0,150440.0,779826.0,109132088.0,1310854382.0,982702.0,0
QM6P42200426,Siempre Pendientes,Peso Pluma,2022-08-15,26.1,395739041.0,34865.0,14461323.0,69.0,115349777.0,497323.0,256000.0,27864309.0,347269682.0,,1
USA2P2415976,LALALI,SEVENTEEN,2024-04-29,26.1,11282322.0,625.0,1779055.0,,23217618.0,887493.0,,2229.0,22700.0,5822984.0,0
USWB12200942,Slut Me Out,NLE Choppa,2022-04-15,26.1,346862697.0,72540.0,23493477.0,67.0,28725574.0,481537.0,60398.0,29004515.0,186623555.0,29533696.0,1
NLM5S2302045,Real Love,Martin Garrix,2023-09-22,26.1,23089149.0,7090.0,14537779.0,,1508079.0,15100.0,700500.0,9061381.0,160449801.0,,0
QM4TX2030959,A Tu Merced,Bad Bunny,2020-02-29,26.1,778269101.0,94041.0,20880365.0,70.0,357643934.0,1517496.0,80500.0,42847884.0,287886349.0,1278210.0,0
USUM71514637,Cake By The Ocean,DNCE,2012-01-01,26.1,1623436416.0,181003.0,87263572.0,76.0,205204907.0,2069073.0,563713.0,55758553.0,345185931.0,312.0,1
USRC11502185,Exchange,Bryson Tiller,2015-10-02,26.1,989672356.0,135409.0,50477248.0,76.0,713521813.0,4429142.0,245277.0,12247275.0,71925380.0,118725866.0,1
FR9W12028036,Wasted Love (feat. Lagique),Ofenbach,2021-01-08,26.1,385903701.0,66419.0,24104595.0,61.0,67488485.0,440351.0,728654.0,53819526.0,771965593.0,27764465.0,0
US6XF1700267,She Got the Best of Me,Luke Combs,2018-06-01,26.1,572628080.0,58161.0,18234682.0,79.0,358325972.0,1376330.0,48738.0,6199392.0,45145253.0,514930459.0,0
QZDQH2154311,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",2021-11-19,26.1,110244949.0,10233.0,6570771.0,39.0,442934526.0,1510804.0,2407.0,864180.0,12667235.0,37522385.0,0
USWB11901876,Camelot,NLE Choppa,2019-09-13,26.1,537163250.0,117513.0,15086606.0,69.0,299438117.0,2767933.0,115957.0,6757364.0,45616164.0,55208010.0,1
QZHN52001856,Stuck In The Middle,Tai Verdes,2020-05-29,26.1,143421888.0,46095.0,5506539.0,54.0,23355896.0,429911.0,4300313.0,895618190.0,6940732133.0,1036956.0,1
USWB12203894,Step Back!,1nonly,2022-09-02,26.1,166436749.0,48250.0,16940138.0,68.0,49886904.0,632581.0,58547.0,24932289.0,219657145.0,72266.0,1
JPP302000760,ýýýýýý,YOASOBI,2021-01-06,26.1,311307250.0,48587.0,6777195.0,61.0,460930832.0,3166818.0,73300.0,18691633.0,275649626.0,78255590.0,0
GBUM72305710,UK Rap,Dave,2023-06-04,26.0,107742416.0,42998.0,15708278.0,67.0,11323598.0,134265.0,,68.0,921.0,15202.0,1
GBLPF6787759,Yugur,Dildora Niyozova,2024-02-21,26.0,17009.0,6.0,20.0,,66083451.0,231545.0,,,,,0
USUM71806196,Mi Cama,KAROL G,2018-05-11,26.0,224367887.0,21036.0,7372736.0,57.0,1159610485.0,6061105.0,136001.0,8220385.0,99044675.0,208104840.0,0
FR9W12223053,Always This Same Old Song,Bingo Club,2023-02-24,26.0,84198.0,27.0,527.0,15.0,295297180.0,,,,,,0
USQX92202485,True Love,Kanye West,2022-05-27,26.0,269363579.0,84173.0,16979097.0,70.0,3464827.0,61192.0,162.0,39781.0,139748.0,197936.0,0
USHR12243202,La Triple T,TINI,2022-05-05,26.0,265244748.0,27965.0,12696928.0,58.0,219911011.0,1029281.0,439688.0,63221453.0,837142924.0,38389154.0,0
DEE861903416,Car's Outside,James Arthur,2019-10-18,26.0,578464780.0,64098.0,29245701.0,76.0,99386903.0,1089785.0,3170207.0,482763087.0,3957426996.0,78753926.0,0
USUM72315552,Northern Attitude (with Hozier),Noah Kahan,2023-11-10,26.0,269280631.0,16841.0,7676990.0,,4294607.0,37332.0,,,,,1
GBAYE1101143,Paradise,Coldplay,2011-10-19,26.0,1291954163.0,205567.0,85747045.0,77.0,325509002.0,2163945.0,755099.0,119567231.0,1016743063.0,1022465.0,0
USAT22200712,Devil Doesnï¿½ï¿½ï¿½t B,Alec Benjamin,2022-04-15,26.0,203417763.0,41522.0,3635691.0,66.0,69712050.0,939096.0,624819.0,85472081.0,686244417.0,1916679817.0,0
QZQMB2102927,Vamos Aclarando Muchas Cosas - En Vivo,Codiciado,2022-09-02,26.0,145135597.0,15952.0,3101333.0,65.0,226936682.0,537097.0,235860.0,10955274.0,181357126.0,34156826.0,1
USUYG1403104,Peru,Fireboy DML,2020-01-01,26.0,316588910.0,82524.0,14617198.0,62.0,276127028.0,1891292.0,94341.0,17340575.0,291943987.0,3517765335.0,1
BCVV82000055,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Guilherme & Benuto,2022-06-23,26.0,290735048.0,17734.0,15206997.0,60.0,296249830.0,565573.0,51900.0,5612563.0,91683933.0,3084523872.0,0
USYFZ2264208,Just Pretend,Bad Omens,2022-02-25,26.0,209635991.0,54470.0,8885780.0,71.0,26381437.0,281014.0,161246.0,24563445.0,231239811.0,12295099.0,0
USRC12302056,older,Isabel LaRosa,2023-09-15,26.0,174933335.0,20035.0,16854153.0,,13345496.0,254331.0,1.0,496198.0,3421698.0,,0
USRH12206010,Happy Dance,Elmo,2023-02-03,26.0,,,,,323018594.0,550826.0,,,,,0
QZ8TY1700001,Glorious (feat. Skylar Grey),Macklemore,2017-06-15,26.0,899431434.0,111427.0,17437639.0,72.0,345265852.0,3361539.0,277847.0,116647161.0,813589191.0,142496161.0,1
USHR12244832,Alone,Burna Boy,2022-11-04,26.0,139783785.0,44303.0,5375418.0,63.0,37874489.0,402994.0,41400.0,17092754.0,129948415.0,644.0,0
USCJY1750007,Delicate,Taylor Swift,2017-11-10,26.0,987770768.0,58856.0,33732271.0,75.0,593364271.0,4837607.0,33676.0,20092439.0,130537420.0,78802662.0,0
USUM72315069,Labios Mordidos (with KAROL G),Kali Uchis,2023-11-24,26.0,91553012.0,8921.0,15207574.0,,48246407.0,514286.0,321.0,234356.0,,381759122.0,0
UYB282113006,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,2021-06-16,25.9,203081704.0,47164.0,7286295.0,59.0,409311269.0,2277370.0,,,,31484427.0,0
USUM71111621,Ni**as In Paris,JAY-Z,2011-01-01,25.9,1436087930.0,296520.0,56557390.0,76.0,444307904.0,3150622.0,37473.0,21427059.0,199117216.0,16347538.0,1
DEE862300656,Be My Lover (feat. La Bouche) - 2023 Mix,Hypaton,2023-04-21,25.9,136778408.0,38192.0,48561484.0,74.0,,,1937.0,301660.0,16053583.0,,0
HKK972201900,Butterfly x Boom - Remix,LEA,2022-01-13,25.9,,382.0,26476.0,,,,3700884.0,12129705.0,201918963.0,,0
USLD91749183,On The Radar Freestyle,Drake,2023-07-26,25.9,86155124.0,34804.0,13487736.0,62.0,17603372.0,566251.0,4799.0,2344363.0,21751158.0,465664.0,1
USUG12207233,Forever (feat. Fridayy),Lil Baby,2022-10-14,25.9,101717995.0,43236.0,7266342.0,61.0,28422099.0,327967.0,63.0,1372.0,15743.0,,1
USUM71409737,Bang Bang,Jessie J,2014-01-01,25.9,1336196012.0,120161.0,65089226.0,72.0,321959140.0,3114933.0,22465.0,36410479.0,243157936.0,2330.0,0
USUG11600998,Reminder,The Weeknd,2016-11-25,25.9,1015965940.0,125348.0,27076169.0,77.0,530807213.0,3439489.0,515202.0,51866413.0,445032303.0,14016821.0,1
USUG12306687,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2023-10-26,25.9,265932119.0,15133.0,21522387.0,,10688311.0,218021.0,57311.0,24038841.0,148790467.0,1023354836.0,0
QZMEQ2463576,icantbelieveiletyougetaway,aldn,2024-05-31,25.9,3162942.0,520.0,4539512.0,63.0,247697.0,13414.0,15900.0,,,,0
USCGJ2325873,Harmless Python,Hot Lemon,2023-02-25,25.9,,,,,307570754.0,3929196.0,,,,10540020.0,0
QZNWR2410858,Funk Estranho,prod.67,2024-05-31,25.9,3589.0,,,15.0,,,,,,,0
QM6MZ2214880,Yo No Soy Celoso,Bad Bunny,2022-05-06,25.9,370800055.0,49381.0,6786167.0,68.0,130681979.0,909372.0,9631.0,12486570.0,123346772.0,20198310.0,1
FRY682000003,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,25.9,437558372.0,91322.0,17073985.0,65.0,131588669.0,803725.0,52346.0,9680657.0,88146717.0,46616431.0,0
USUM72311135,JEALOUSY (feat. Cardi B),Offset,2023-07-28,25.9,58058696.0,20289.0,18874374.0,56.0,31124272.0,674922.0,8543.0,7585680.0,62820921.0,267510966.0,1
GBUM72103840,Clash (feat. Stormzy),Dave,2021-07-08,25.9,237619076.0,109634.0,9288222.0,61.0,83880421.0,827499.0,29127.0,12773383.0,121310762.0,13321285.0,1
USAT21906991,Salt,Ava Max,2019-12-12,25.9,388802420.0,56080.0,8025213.0,62.0,267992366.0,1873271.0,416848.0,90667312.0,1836584524.0,16367818.0,0
GBUM71807533,Fire On Fire,Sam Smith,2018-12-21,25.9,697834321.0,85430.0,22166821.0,70.0,408377555.0,3474229.0,845344.0,162079342.0,1362132192.0,462620095.0,0
TCAHM2313718,Problema,Carlos Agassi,2023-09-27,25.9,125395.0,32.0,2558.0,,,,1100739.0,21961859.0,325076048.0,,1
KSA002300722,Shoong! (feat. LISA of BLACKPINK),TAEYANG,2023-04-25,25.9,156994096.0,14231.0,5565204.0,61.0,147699486.0,22687.0,15086.0,27140570.0,180459570.0,53993902.0,0
USUG11900730,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Quality Control,2019-05-29,25.8,239850720.0,49483.0,7561353.0,58.0,137567703.0,1400248.0,494841.0,93154485.0,592960684.0,14347458.0,1
FR9W12333643,Boyz In Paris (with VINAI),Marnik,2023-07-28,25.8,136709117.0,28764.0,62770976.0,73.0,5623146.0,62157.0,1046.0,438190.0,11060327.0,3380195.0,1
USQX91802455,3 Nights,Dominic Fike,2018-10-16,25.8,987061577.0,170786.0,42953760.0,73.0,118458946.0,1182389.0,87128.0,32067807.0,219224269.0,5644556.0,0
